Id,Label,Domain,Phylum,Class,Order,Family,Genus,OTU.rep,SILVA138_updated_classification,Name,Ecologically_relevant_classification,Ecologically_relevant_classification_aggregated,Ecologically_relevant_classification_aggregated_notes
752,OTU752,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,S25-593,,EU799623.1.1467,Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;S25-593;,f_S25-593,Rickettsiales,Alpha-other,
319,OTU319,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,S25-593,,EU802945.1.1378,Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;S25-593;,f_S25-593,Rickettsiales,Alpha-other,
474,OTU474,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,S25-593,,EU805000.1.1468,Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;S25-593;,f_S25-593,Rickettsiales,Alpha-other,
1508,OTU1508,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Thalassospira,DQ396091.1.1479,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Thalassospiraceae;Thalassospira;,g_Thalassospira,Thalassospira (Rhodospirillales),Alpha-other,
1966,OTU1966,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Thalassospira,HM057728.1.1480,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Thalassospiraceae;Thalassospira;,g_Thalassospira,Thalassospira (Rhodospirillales),Alpha-other,
1760,OTU1760,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Aestuariibacter,FJ497496.1.1440,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;,g_Aestuariibacter,Alteromonadaceae,Alteromonadales,
1298,OTU1298,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,uncultured,HQ225273.1.1502,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;uncultured;,g_uncultured,Alteromonadaceae,Alteromonadales,
1830,OTU1830,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,AF114496.1.1495,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;,g_Alteromonas,Alteromonas,Alteromonadales,
1696,OTU1696,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,AJ240914.1.1494,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;,g_Alteromonas,Alteromonas,Alteromonadales,
1383,OTU1383,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,AM990657.1.1462,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;,g_Alteromonas,Alteromonas,Alteromonadales,
1032,OTU1032,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,AY344429.1.1480,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;,g_Alteromonas,Alteromonas,Alteromonadales,
1257,OTU1257,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,AY345469.1.1433,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;,g_Alteromonas,Alteromonas,Alteromonadales,
151,OTU151,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,AY726843.1.1232,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;,g_Alteromonas,Alteromonas,Alteromonadales,
66,OTU66,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,AY726967.1.1236,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;,g_Alteromonas,Alteromonas,Alteromonadales,
1815,OTU1815,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,DQ117432.1.1510,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;,g_Alteromonas,Alteromonas,Alteromonadales,
892,OTU892,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,DQ300608.1.1456,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;,g_Alteromonas,Alteromonas,Alteromonadales,
394,OTU394,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,EF061412.1.1442,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;,g_Alteromonas,Alteromonas,Alteromonadales,
1282,OTU1282,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,EF061414.1.1410,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;,g_Alteromonas,Alteromonas,Alteromonadales,
1273,OTU1273,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,EF061418.1.1459,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;,g_Alteromonas,Alteromonas,Alteromonadales,
1355,OTU1355,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,EF061422.1.1421,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;,g_Alteromonas,Alteromonas,Alteromonadales,
631,OTU631,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,EF061430.1.1450,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;,g_Alteromonas,Alteromonas,Alteromonadales,
757,OTU757,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,EF061436.1.1445,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;,g_Alteromonas,Alteromonas,Alteromonadales,
755,OTU755,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,EF574195.1.1480,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;,g_Alteromonas,Alteromonas,Alteromonadales,
482,OTU482,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,EF574604.1.1446,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;,g_Alteromonas,Alteromonas,Alteromonadales,
