"","Mean_Temperature..deg.C..","Mean_Salinity..PSU..","Mean_Oxygen..umol.kg..","Mean_Nitrates.umol.L..","NO2..umol.L...","PO4..umol.L...","NO2NO3..umol.L...","SI..umol.L...","grad_SST_adv"
"195",0.855687229714955,0.0822804685569223,-0.13635912489649,-0.304767454631532,0.851307588065063,-0.274430364989581,-0.589775753432281,-0.431408579766958,-0.740742244697112
"199",1.02586922866019,-0.179496942181999,0.0830699730850198,-0.254717587613276,0.137252377670436,-0.118831490687698,-0.181937317145166,-0.373557474036987,-0.98904735413298
"203",0.656897131907486,0.392122557519149,-0.364337720807397,-0.365013662475787,-0.23856615411621,-0.196630927838639,-0.430579261199484,-0.438571097619241,-1.44089510699611
"207",1.06013287905502,-0.159264540905281,0.0324438195884897,-0.264365752902939,0.24999793720643,-0.196630927838639,-0.38298443362473,-0.413226803680396,-1.44089510699611
"210",0.968308389819565,-0.350019070952962,-0.120241926595675,-0.311891054727503,0.588234615814411,-0.207745133145917,-0.257432560884431,-0.361436289979279,-1.19509659825757
"211",0.967551937335468,-0.372829791718913,-0.0776946232022417,-0.457367371216208,0.550652762635746,-0.218859338453194,-0.272203369442113,-0.365293030361277,-1.19509659825757
"212",-0.448030813943931,-0.850107334892725,0.597702217517609,-0.590285380020154,-0.388893566830869,-0.674541756051564,-0.684965408581789,-0.267221632076182,-0.762356219500016
"213",-1.5755692898468,-1.09063498164075,-0.686244970626577,1.58292281876747,-0.464057273188198,0.536906622441663,0.746161820562537,0.718451016980187,0.0299791561901655
"214",0.849408123090978,-0.319726590393509,0.186040066954996,-0.721474804546184,-0.464057273188198,-0.807912219738892,-0.688247810483496,-0.378516140242413,-1.13303839431837
"215",-0.726742228885813,-1.5860299340729,0.630031291207518,-0.276106164910474,-0.163402447758881,-0.307772980911413,-0.58239034915344,-0.355926660862139,0.141699843003788
"216",-1.80556049438126,-0.875841586742398,-2.61231999155669,2.73144611881691,-0.464057273188198,2.83754712104807,2.94126809232921,5.73111158775428,-0.608647990036918
"217",0.0722021302592249,-1.67892970227546,0.581516919191746,-0.698027772173763,-0.464057273188198,-0.496714471135127,-0.68742721000807,-0.407166211651542,-0.832905971567622
"218",-0.0137142630399084,-0.847773078043067,-1.32735179136814,0.19670190155806,0.700980175350405,0.159023641994235,-0.192605123325714,-0.255651410930188,0.284953868303312
"219",-1.28409277203376,-0.70810138051829,-2.72994920033592,2.09038042183498,-0.426475420009533,2.45966414060064,2.14610623164064,2.05618896662181,0.26150259608811
"220",1.0114530757522,-1.16638706540426,0.148223983945782,-0.398048479606331,-0.200984300937546,-0.307772980911413,-0.488841894954786,-0.372455548213559,-0.504501056287516
"221",0.0457833617914754,-0.691750488814336,-1.59923852213779,1.04606188909129,2.65523654064096,0.414650364061613,0.369506202341639,-0.0677730580357096,0.296663698540111
"222",-1.37604832197535,-0.693917686744925,-2.72770380844096,2.1799815292626,-0.426475420009533,2.69306245205346,2.28314651103692,2.40329560100164,0.439761008068377
"223",1.04124675579702,-1.47791475275695,0.174206659147628,-0.737162172365389,-0.464057273188198,-0.641199140129732,-0.689068410958923,-0.446835541294951,0.439541903163975
"224",1.04033497210564,-4.40668861521165,0.298594270086661,-0.937334974924484,-0.464057273188198,-0.730112782587951,-0.689068410958923,-0.482648130556362,0.992649398304155
"225",1.10463317087009,-0.864386957029774,0.154097514919637,-0.778512415464447,-0.464057273188198,-0.807912219738892,-0.689068410958923,-0.350967994656712,1.33205742712772
"226",0.819879057104503,0.326551279210358,0.116330339034018,-0.612710081108565,-0.388893566830869,-0.796798014431614,-0.684144808106362,-0.447937467118379,-0.627876470426632
"227",-1.17326500517535,-0.330287846433454,-1.13752038191286,1.79418518024413,-0.464057273188198,0.536906622441663,0.972647551780331,-0.037470097891439,-0.464230016913055
"228",0.822071011336951,0.340607068498813,0.135506400454673,-0.815893021739989,-0.388893566830869,-0.819026425046169,-0.684965408581789,-0.445182652559809,0.6932101470278
"229",-1.78842617653778,-0.458489905045843,0.667959956787475,0.874938941831219,-0.426475420009533,0.814761755123596,1.07522261120868,0.244071949994422,-0.130674810135751
"230",-0.600928149130532,-0.318742508948368,0.721378226108864,-0.379897080375053,-0.0506568882228872,-0.430029239291463,-0.329645402721988,-0.359783401244137,1.44278787351174
"231",-1.00847630515853,-0.175936498969323,-0.695904342106299,1.02637768255936,-0.464057273188198,0.636934470207159,0.954594341320942,0.217074767320435,-0.422535616065892
"232",0.0563367004535867,0.516062655973554,0.432907585458654,-0.580530092924537,0.362743496742423,-0.796798014431614,-0.628343975777341,-0.460609614087801,1.06003634263831
"234",-0.069578528255082,0.582016995163178,0.0982907430248369,-0.336626307272818,-0.351311713652204,-0.618970729515177,-0.350160414607658,-0.423144136091248,0.0130061668635175
"233",0.222753623116978,0.605465280631989,0.406231376168609,-0.674978542953578,-0.125820594580216,-0.819026425046169,-0.676759403827521,-0.472179835233795,1.37899595169951
"235",-1.06710976895753,-0.193516839905809,-0.443250097223948,0.983341075579441,-0.426475420009533,0.692505496743546,1.04321919266704,0.114595665741629,0.0132578825276343
"236",0.00436935937778547,0.479910061768611,0.519104237696486,-0.736534230162387,0.475489056278417,-0.752341193202505,-0.633267578629901,-0.468323094851797,1.18141754840102
