"","Domain","Phylum","Class","Order","Family","Genus","OTU.rep"
"OTU503","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","OCS155 marine group","","FJ745259.1.1364"
"OTU565","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","OCS155 marine group","","FJ745081.1.1358"
"OTU165","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","GU234848.1.1327"
"OTU716","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","NS9 marine group","","EF572198.1.1478"
"OTU726","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","Thiobacillus","EU800621.1.1499"
"OTU98","Bacteria","Cyanobacteria","Chloroplast","","","","HQ671891.1.1439"
"OTU58","Archaea","Thaumarchaeota","Marine Group I","","","","GU234305.1.1334"
"OTU87","Archaea","Thaumarchaeota","Marine Group I","","","","AB193965.1.1440"
"OTU121","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86 clade","","EU686640.25381.26914"
"OTU142","Archaea","Thaumarchaeota","Marine Group I","","","","AB461943.1.1310"
"OTU222","Archaea","Thaumarchaeota","Marine Group I","","","","AB194003.1.1440"
"OTU193","Archaea","Thaumarchaeota","Marine Group I","","","","JQ220558.1.915"
"OTU190","Archaea","Thaumarchaeota","Marine Group I","","","","AJXC01000443.5756.7214"
"OTU264","Archaea","Thaumarchaeota","Marine Group I","","","","JQ221732.1.914"
"OTU247","Archaea","Thaumarchaeota","Marine Group I","","","","FJ150822.1.1353"
"OTU212","Archaea","Thaumarchaeota","Marine Group I","","","","FJ150819.1.1297"
"OTU234","Archaea","Thaumarchaeota","Marine Group I","","","","FJ150824.1.1353"
"OTU211","Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Marine Group II","","EU686643.5839.7313"
"OTU541","Archaea","Thaumarchaeota","Marine Group I","","","","JQ222055.1.909"
"OTU543","Archaea","Thaumarchaeota","Marine Group I","","","","JQ220924.1.916"
"OTU635","Archaea","Thaumarchaeota","Marine Group I","","","","AB193958.1.1441"
"OTU585","Archaea","Thaumarchaeota","Marine Group I","","","","JQ221717.1.914"
"OTU718","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","ZD0405","","HQ672840.1.1446"
"OTU333","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","Leeuwenhoekiella","AANC01000011.208.1734"
"OTU732","Archaea","Thaumarchaeota","Marine Group I","","","","JQ222467.1.914"
"OTU804","Archaea","Thaumarchaeota","Marine Group I","","","","JQ222294.1.913"
"OTU560","Archaea","Thaumarchaeota","Marine Group I","","","","AB193999.1.1440"
"OTU553","Archaea","Thaumarchaeota","Marine Group I","","","","EU686615.30301.31771"
"OTU526","Archaea","Thaumarchaeota","Marine Group I","","","","GU234599.1.1319"
"OTU447","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","HQ672746.1.1512"
"OTU926","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Nitrospinaceae","Nitrospina","GQ351233.1.1485"
"OTU989","Archaea","Thaumarchaeota","Marine Group I","","","","EF597695.1.942"
"OTU884","Archaea","Thaumarchaeota","Marine Group I","","","","AY627439.1.1193"
"OTU929","Archaea","Thaumarchaeota","Marine Group I","","","","HM103738.1.947"
"OTU1168","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","NS9 marine group","","HQ673682.1.1487"
"OTU628","Archaea","Thaumarchaeota","Marine Group I","","","","FJ150820.1.1353"
"OTU372","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","HQ674329.1.1524"
"OTU956","Archaea","Thaumarchaeota","Marine Group I","","","","AB193988.1.1441"
"OTU596","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","GQ375276.1.1509"
"OTU696","Archaea","Thaumarchaeota","Marine Group I","","","","AF121987.1.935"
"OTU787","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Sva0996 marine group","","HQ673808.1.1478"
"OTU1208","Archaea","Thaumarchaeota","Marine Group I","","","","JQ220648.1.914"
"OTU750","Archaea","Thaumarchaeota","Marine Group I","","","","FJ150810.1.1353"
"OTU1019","Archaea","Thaumarchaeota","Marine Group I","","","","JQ221251.1.914"
"OTU1209","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","JL-ETNP-Y6","","AY726938.1.1253"
"OTU1617","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","JL-ETNP-Y6","","HQ672684.1.1504"
"OTU1172","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","ZD0405","","HQ673602.1.1482"
"OTU986","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Sva0996 marine group","","HQ674102.1.1479"
"OTU1462","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Pseudospirillum","HQ672823.1.1517"
"OTU1082","Archaea","Thaumarchaeota","Marine Group I","","","","JQ221803.1.914"
"OTU736","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","NS9 marine group","","GU940873.1.1401"
"OTU266","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","EU802606.1.1200"
"OTU729","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Roseibacillus","GU062019.1.1504"
"OTU401","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86 clade","","JQ062671.1.1498"
"OTU438","Bacteria","Proteobacteria","Gammaproteobacteria","Order Incertae Sedis","Family Incertae Sedis","Marinicella","EF572504.1.1492"
"OTU981","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Idiomarinaceae","Idiomarina","EU802936.1.1504"
"OTU1515","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","AM945668.1.1328"
"OTU1652","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","FJ444989.1.1450"
"OTU1096","Bacteria","Proteobacteria","Gammaproteobacteria","Salinisphaerales","Salinisphaeraceae","Salinisphaera","AB735546.1.1462"
"OTU757","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","EF061436.1.1445"
"OTU798","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","GQ377787.1.1230"
"OTU348","Bacteria","Proteobacteria","Deltaproteobacteria","SAR324 clade(Marine group B)","","","JN233016.1.1438"
"OTU514","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","Zunongwangia","CP001650.759240.760762"
