"","Domain","Phylum","Class","Order","Family","Genus","OTU.rep"
"OTU465","Archaea","Thaumarchaeota","Marine Group I","","","","U71109.1.1350"
"OTU124","Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Marine Group II","","EU686618.3359.4826"
"OTU1295","Bacteria","Chloroflexi","SAR202 clade","","","","JN166305.1.1465"
"OTU1140","Bacteria","Gemmatimonadetes","Gemmatimonadetes","BD2-11 terrestrial group","","","JN166233.1.1526"
"OTU46","Bacteria","Proteobacteria","Alphaproteobacteria","OCS116 clade","","","EU804641.1.1462"
"OTU2044","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Magnetospira","JN166309.1.1461"
"OTU316","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86 clade","","GU061453.1.1514"
"OTU1108","Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Marine Group II","","DQ374241.1.1077"
"OTU321","Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Marine Group III","","DQ156480.1.1271"
"OTU644","Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Marine Group II","","HQ529817.1.915"
"OTU1511","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","OM182 clade","","JN166254.1.1500"
"OTU295","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","DQ009458.1.2068"
"OTU450","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Synechococcus","AY664189.1.1285"
"OTU782","Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Marine Group II","","HQ529849.1.917"
"OTU1892","Bacteria","Chloroflexi","JG30-KF-CM66","","","","DQ300613.1.1323"
"OTU1565","Bacteria","Chloroflexi","SAR202 clade","","","","AY534096.1.1494"
"OTU2295","Bacteria","Chloroflexi","SAR202 clade","","","","JN233131.1.1427"
"OTU2139","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Synechococcus","KC253366.1.1449"
"OTU176","Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Marine Group II","","EU686616.36653.38121"
"OTU602","Bacteria","Proteobacteria","Gammaproteobacteria","KI89A clade","","","AY907754.1.1353"
"OTU1910","Bacteria","Chloroflexi","SAR202 clade","","","","JN166337.1.1461"
"OTU694","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Synechococcus","AY726846.1.1215"
"OTU1387","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Prochlorococcus","GU305788.1.1476"
"OTU1772","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","uncultured","AY856363.1.1409"
"OTU1376","Bacteria","Chloroflexi","SAR202 clade","","","","GQ337281.1.1459"
"OTU313","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Sva0996 marine group","","EF573463.1.1480"
"OTU216","Bacteria","Proteobacteria","Alphaproteobacteria","OCS116 clade","","","JQ062856.1.1462"
"OTU674","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Synechococcus","AY664178.1.1215"
"OTU215","Bacteria","Proteobacteria","Deltaproteobacteria","SAR324 clade(Marine group B)","","","EU802603.1.1489"
"OTU623","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","AY907769.1.1521"
"OTU267","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","NS5 marine group","GU145420.1.1491"
"OTU581","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","OM75 clade","EF572785.1.1464"
"OTU141","Bacteria","Proteobacteria","Deltaproteobacteria","SAR324 clade(Marine group B)","","","U65908.1.1509"
"OTU104","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86 clade","","EU802543.1.1499"
"OTU69","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","OCS155 marine group","","EU802707.1.1478"
"OTU191","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","OCS155 marine group","","GU061415.1.1485"
"OTU145","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","OCS155 marine group","","EU800402.1.1485"
"OTU96","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Synechococcus","GU119298.1.1407"
"OTU160","Bacteria","Cyanobacteria","Chloroplast","","","","EF574484.1.1444"
"OTU99","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","EF571973.1.1459"
"OTU269","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Synechococcus","AY663999.1.1259"
"OTU318","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Synechococcus","GU061586.1.1437"
"OTU284","Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Marine Group II","","DQ156396.1.1264"
"OTU113","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","EU805254.1.1438"
"OTU183","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","OCS155 marine group","","EU802833.1.1487"
"OTU392","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Synechococcus","GU941055.1.1253"
"OTU703","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Synechococcus","EU237332.1.1322"
"OTU771","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Synechococcus","GU119438.1.1393"
"OTU214","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86 clade","","EU802437.1.1387"
"OTU699","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Prochlorococcus","JQ347444.1.1436"
"OTU261","Bacteria","Proteobacteria","Gammaproteobacteria","Order Incertae Sedis","Family Incertae Sedis","Marinicella","AACY020371335.89.1595"
"OTU598","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Synechococcus","AY663936.1.1224"
"OTU876","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","uncultured","","FJ999604.1.1348"
"OTU153","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","EF574119.1.1500"
"OTU490","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Synechococcus","GQ377778.1.1232"
"OTU364","Bacteria","Proteobacteria","Deltaproteobacteria","SAR324 clade(Marine group B)","","","EF574859.1.1503"
"OTU569","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Synechococcus","AY663935.1.1244"
"OTU340","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","","","EF573115.1.1498"
"OTU112","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","EU802893.1.1441"
"OTU895","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Synechococcus","AY664059.1.1278"
"OTU210","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","JTB255 marine benthic group","","AACY020075636.150.1670"
"OTU185","Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Marine Group II","","AACY020555882.2572.4023"
"OTU646","Bacteria","Proteobacteria","Deltaproteobacteria","SAR324 clade(Marine group B)","","","EF572962.1.1462"
"OTU120","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","uncultured","EU237468.1.1312"
"OTU874","Bacteria","Proteobacteria","Gammaproteobacteria","Salinisphaerales","Salinisphaeraceae","ZD0417 marine group","GQ377828.1.1263"
"OTU369","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","","","EU802637.1.1438"
"OTU314","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Nitrospinaceae","Nitrospina","GQ349960.1.1356"
"OTU279","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","AACY020564058.27.1569"
"OTU464","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","","","KC001780.1.1314"
"OTU57","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","AY664104.1.1218"
"OTU879","Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Marine Group III","","DQ156481.1.1248"
"OTU376","Bacteria","Verrucomicrobia","Arctic97B-4 marine group","","","","EU686604.16726.18273"
"OTU800","Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Marine Group II","","DQ156443.1.1290"
"OTU1249","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Erythrobacter","AEUE01000008.155488.156954"
"OTU1341","Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Marine Group II","","EU791574.1.914"
"OTU702","Bacteria","Chloroflexi","SAR202 clade","","","","HQ674232.1.1463"
"OTU531","Bacteria","Proteobacteria","Deltaproteobacteria","SAR324 clade(Marine group B)","","","AACY023939069.20.1514"
"OTU1068","Archaea","Thaumarchaeota","Marine Group I","","","","JF268338.1.1346"
"OTU343","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","GU061789.1.1436"
"OTU303","Bacteria","Proteobacteria","Deltaproteobacteria","SAR324 clade(Marine group B)","","","AY726885.1.1230"
"OTU196","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","HQ672720.1.1447"
"OTU90","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","AEGEAN-169 marine group","GQ337263.1.1438"
"OTU618","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Synechococcus","AY726833.1.1216"
"OTU684","Bacteria","Proteobacteria","AEGEAN-245","","","","AACY020430088.197.1720"
"OTU903","Bacteria","Proteobacteria","Gammaproteobacteria","Salinisphaerales","Salinisphaeraceae","ZD0417 marine group","HQ672383.1.1501"
"OTU2724","Archaea","Thaumarchaeota","Marine Group I","","","","HQ529887.1.906"
"OTU106","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","AY726930.1.1212"
"OTU885","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86 clade","","HM798599.1.1491"
"OTU1206","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","uncultured","JN233132.1.1477"
"OTU1308","Archaea","Thaumarchaeota","Marine Group I","","","","HQ267240.1.915"
"OTU660","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Deep 1","","AACY020403290.735.2190"
"OTU488","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","JQ678385.1.1530"
"OTU1104","Archaea","Thaumarchaeota","Marine Group I","","","","JX870189.1.913"
"OTU724","Bacteria","Chloroflexi","SAR202 clade","","","","AY534097.1.1494"
"OTU298","Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Marine Group II","","AJXC01007386.664.1844"
"OTU1122","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Sva0996 marine group","","GQ377812.1.1253"
"OTU613","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Deep 1","","HQ674511.1.1435"
"OTU311","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","","","HQ673514.1.1438"
"OTU663","Bacteria","Proteobacteria","Gammaproteobacteria","Salinisphaerales","Salinisphaeraceae","ZD0417 marine group","JQ678403.1.1505"
"OTU2518","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Oceanobacter","GQ377804.1.1273"
"OTU283","Bacteria","Cyanobacteria","Chloroplast","","","","JN166197.1.1454"
"OTU370","Bacteria","Cyanobacteria","Chloroplast","","","","AY663945.1.1231"
"OTU62","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","","","EU803081.1.1252"
"OTU605","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","SAR116 clade","","EF571965.1.1491"
"OTU788","Bacteria","Cyanobacteria","Chloroplast","","","","CR954199.69730.71299"
"OTU118","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","GU940748.1.1341"
"OTU123","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","EU802984.1.1440"
"OTU241","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","EU802368.1.1440"
"OTU1002","Bacteria","Proteobacteria","Deltaproteobacteria","SAR324 clade(Marine group B)","","","EU802445.1.1460"
"OTU1151","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86 clade","","EU803136.1.1458"
"OTU386","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86 clade","","EF574040.1.1487"
"OTU232","Bacteria","Proteobacteria","Alphaproteobacteria","OCS116 clade","","","EF572586.1.1452"
"OTU102","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","GU234735.1.1317"
"OTU227","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","SAR116 clade","","EU802894.1.1450"
"OTU242","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","AACY020545456.443.1983"
"OTU538","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","uncultured","EU804188.1.1426"
"OTU591","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","uncultured","GU061861.1.1423"
"OTU833","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","uncultured","FJ744785.1.1295"
"OTU135","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","HQ674365.1.1523"
"OTU48","Bacteria","Planctomycetes","Planctomycetacia","Brocadiales","Brocadiaceae","Candidatus Scalindua","EU795287.4965.6516"
"OTU167","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","AB193918.1.1524"
"OTU132","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","GU145455.1.1523"
"OTU410","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","HQ673270.1.1522"
"OTU129","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","","","AY033322.1.1446"
"OTU521","Bacteria","Proteobacteria","Gammaproteobacteria","Salinisphaerales","Salinisphaeraceae","ZD0417 marine group","HQ673566.1.1504"
"OTU615","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Sva0996 marine group","","FJ615178.1.1439"
"OTU877","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","uncultured","","AY726847.1.1222"
"OTU246","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","HQ672443.1.1436"
"OTU900","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","EU795186.1137.2679"
"OTU592","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","HQ673064.1.1522"
"OTU1027","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Synechococcus","AB610896.1.1479"
"OTU225","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","AY907781.1.1504"
"OTU627","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Synechococcus","JN874316.1.1443"
"OTU971","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Prochlorococcus","HQ671844.1.1443"
"OTU860","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Synechococcus","AY664005.1.1223"
"OTU647","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Synechococcus","FJ999613.1.1344"
"OTU288","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","EF572101.1.1517"
"OTU1423","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Deep Sea Hydrothermal Vent Gp 6(DHVEG-6)","","AACY020254990.1.1246"
"OTU570","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Prochlorococcus","JQ062702.1.1447"
"OTU388","Bacteria","Verrucomicrobia","Spartobacteria","Chthoniobacterales","FukuN18 freshwater group","","HQ673751.1.1453"
"OTU603","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Deep 1","","AY726929.1.1212"
"OTU374","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","","","HQ672799.1.1447"
"OTU952","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Nitrospinaceae","Nitrospina","DQ009478.1.1823"
"OTU1045","Bacteria","Proteobacteria","Gammaproteobacteria","E01-9C-26 marine group","","","AY726933.1.1255"
"OTU1147","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Deep 1","","JX879028.1.1406"
"OTU213","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","HQ672889.1.1533"
"OTU676","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Sva0996 marine group","","AACY020288370.770.2267"
"OTU959","Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Marine Group II","","AJ133625.1.1270"
"OTU1150","Bacteria","Cyanobacteria","Chloroplast","","","","EU259787.1.1453"
"OTU843","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Sva0996 marine group","","GU061506.1.1478"
"OTU418","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","S25-593","","EF572151.1.1467"
"OTU437","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","HQ673078.1.1511"
"OTU304","Bacteria","Proteobacteria","Alphaproteobacteria","OCS116 clade","","","EF573369.1.1458"
"OTU557","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","uncultured","EU805199.1.1426"
"OTU1324","Bacteria","Cyanobacteria","Chloroplast","","","","FJ826247.1.1220"
"OTU147","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Flammeovirgaceae","Marinoscillum","EF572384.1.1486"
"OTU426","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","OCS155 marine group","","EU802768.1.1494"
"OTU354","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","OCS155 marine group","","EU802374.1.1489"
"OTU162","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","GU940897.1.1343"
"OTU539","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","AEGEAN-169 marine group","EU237459.1.1302"
"OTU1508","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Thalassospira","DQ396091.1.1479"
"OTU847","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86 clade","","AACY020553861.2031.3562"
"OTU338","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","S25-593","","EF572745.1.1469"
"OTU256","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86 clade","","EU802400.1.1495"
"OTU161","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86 clade","","EU802942.1.1496"
"OTU297","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 2","","EU802612.1.1434"
"OTU105","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","NS4 marine group","AACY020555729.127.1634"
"OTU107","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","Sufflavibacter","EF573001.1.1489"
"OTU101","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","EU803067.1.1257"
"OTU255","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","Sufflavibacter","EU802718.1.1501"
"OTU528","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86 clade","","AF406530.1.1447"
"OTU1088","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","DQ396017.1.1548"
"OTU336","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Flammeovirgaceae","Marinoscillum","EU802565.1.1482"
"OTU1269","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","JTB255 marine benthic group","","EU799557.1.1286"
"OTU445","Bacteria","Proteobacteria","Gammaproteobacteria","Order Incertae Sedis","Family Incertae Sedis","Marinicella","HQ672748.1.1471"
"OTU462","Bacteria","Cyanobacteria","Chloroplast","","","","HQ242617.1.1454"
"OTU1135","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Flammeovirgaceae","Marinoscillum","HQ671780.1.1479"
"OTU412","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Prochlorococcus","EU802319.1.1452"
"OTU459","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86 clade","","EU802366.1.1420"
"OTU501","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 2","","HQ672724.1.1498"
"OTU559","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","NS5 marine group","AACY020276549.377.1886"
"OTU180","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","","","EU802980.1.1373"
"OTU391","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","","","EF573375.1.1449"
"OTU545","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","NS4 marine group","AF382130.1.1484"
"OTU675","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","SAR116 clade","","AY700630.1.1436"
"OTU589","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","SAR116 clade","","EF572059.1.1446"
"OTU507","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","SAR92 clade","EU795175.18550.20063"
"OTU711","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","NS2b marine group","KC002071.1.1361"
"OTU226","Bacteria","Proteobacteria","Alphaproteobacteria","OCS116 clade","","","AACY020555764.489.1966"
"OTU300","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86 clade","","EF573689.1.1488"
"OTU1383","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","AM990657.1.1462"
"OTU151","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","AY726843.1.1232"
"OTU3000","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","GQ274096.1.1523"
"OTU66","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","AY726967.1.1236"
"OTU143","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","JN563820.1.1535"
"OTU257","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","GU451676.1.1235"
"OTU352","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","AY726942.1.1230"
"OTU2372","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","CP001103.480922.482242"
"OTU1032","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","AY344429.1.1480"
"OTU394","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","EF061412.1.1442"
"OTU1736","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","EU188189.1.1494"
"OTU755","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","EF574195.1.1480"
"OTU845","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","FJ497554.1.1456"
"OTU3398","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","GU108528.1.1398"
"OTU606","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","GQ377798.1.1238"
"OTU1830","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","AF114496.1.1495"
"OTU281","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","GU235719.1.1348"
"OTU1815","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","DQ117432.1.1510"
"OTU516","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","JQ860235.1.1434"
"OTU1285","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","NS5 marine group","HM057630.1.1500"
"OTU361","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","EU800195.1.1400"
"OTU482","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","EF574604.1.1446"
"OTU869","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","EU935239.1.1480"
"OTU999","Bacteria","Proteobacteria","Elev-16S-509","","","","EF575095.1.1460"
"OTU936","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","","FJ745211.1.1387"
"OTU983","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","AY664172.1.1229"
"OTU700","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","AY727010.1.1237"
"OTU892","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","DQ300608.1.1456"
"OTU815","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","","","JX537832.1.1385"
"OTU583","Bacteria","Cyanobacteria","Chloroplast","","","","EF574673.1.1448"
"OTU745","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Flammeovirgaceae","Marinoscillum","FJ745057.1.1366"
"OTU4145","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","JN874273.1.1457"
"OTU857","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Piscirickettsiaceae","Methylophaga","FJ497517.1.1437"
"OTU949","Bacteria","Verrucomicrobia","Opitutae","Puniceicoccales","Puniceicoccaceae","marine group","FJ745172.1.1390"
"OTU769","Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Marine Group II","","AACY020428427.340.1780"
"OTU758","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","Candidatus Pelagibacter","EU800540.1.1371"
"OTU522","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","EU801104.1.1437"
"OTU1696","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","AJ240914.1.1494"
"OTU3149","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","FJ826163.1.1477"
"OTU756","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","HQ671967.1.1514"
